Price,Beds,Baths,Cars,Area,SchoolZone,Auction,New,Subdivided
1100,3,2,2,331,Yes,Yes,No,Yes
1239,3,1,1,723,Yes,Yes,No,No
1095,4,2,1,567,Yes,Yes,Yes,No
890,3,1,2,659,No,No,No,No
1155,4,2,2,785,Yes,No,No,No
721,3,1,1,227,Yes,Yes,No,Yes
1150,3,1,2,838,Yes,Yes,No,No
1087,3,2,2,289,Yes,No,Yes,Yes
870,3,2,2,235,Yes,Yes,Yes,Yes
1200,3,2,2,830,Yes,No,No,No
1490,4,2,3,766,Yes,No,No,No
865,2,1,2,406,No,No,No,Yes
1710,5,2,4,671,Yes,Yes,Yes,No
1201,5,2,2,745,Yes,No,No,No
967,3,1,2,647,Yes,Yes,No,No
975,3,2,2,347,Yes,Yes,Yes,Yes
1230,4,3,2,421,No,Yes,Yes,Yes
1301,4,1,3,719,Yes,Yes,No,No
2050,4,3,2,819,No,Yes,Yes,No
1142,4,2,2,239,Yes,No,Yes,Yes
852,3,1,2,358,Yes,No,No,Yes
1226,4,2,2,656,Yes,Yes,No,No
1180,4,2,2,661,No,Yes,No,No
1777,4,2,1,761,Yes,Yes,No,No
1340,3,2,1,776,Yes,No,No,No
1332,3,1,1,732,Yes,No,No,No
1327,6,2,1,770,Yes,Yes,No,No
1410,3,1,1,957,Yes,Yes,No,No
955,3,1,1,758,Yes,Yes,No,No
1000,2,1,1,319,Yes,Yes,Yes,Yes
858,3,1,1,651,No,No,No,No
875,3,2,2,706,No,No,No,No
1275,3,1,2,811,Yes,Yes,No,No
1680,3,2,2,883,Yes,No,No,No
830,4,2,2,315,Yes,Yes,Yes,Yes
1550,4,2,2,752,Yes,Yes,No,No
980,3,2,2,295,No,Yes,Yes,Yes
1050,3,2,2,295,Yes,Yes,Yes,Yes
1274,3,1,2,765,Yes,Yes,No,No
1260,6,3,2,728,No,Yes,No,No
1028,4,3,2,603,No,Yes,Yes,No
1369,4,2,1,785,Yes,No,No,No
988,3,2,2,701,Yes,Yes,No,No
975,4,1,1,312,Yes,Yes,Yes,Yes
1368,4,2,2,793,Yes,Yes,No,No
855,3,2,2,272,Yes,Yes,Yes,Yes
1925,5,4,3,950,Yes,Yes,Yes,No
672,4,3,2,367,No,No,Yes,Yes
1551,3,2,1,806,Yes,No,No,No
612,2,1,1,323,Yes,No,No,Yes
825,3,2,1,209,Yes,Yes,Yes,Yes
2060,5,3,2,750,Yes,No,Yes,No
830,3,2,2,369,Yes,No,Yes,Yes
1215,4,3,2,743,Yes,No,No,No
1289,3,1,2,783,Yes,No,No,No
1300,4,1,2,767,Yes,Yes,No,No
1326,3,1,1,722,Yes,No,No,No
1383,3,2,2,718,No,No,No,No
668,2,1,1,289,No,Yes,No,Yes
1351,3,2,2,712,Yes,No,No,No
1200,2,2,1,324,Yes,No,No,Yes
1030,4,2,2,366,Yes,No,Yes,Yes
717,3,1,1,439,No,Yes,No,Yes
713,3,1,1,210,Yes,Yes,No,Yes
1140,3,1,2,766,Yes,Yes,No,No
1934,5,2,2,876,Yes,No,Yes,No
1325,3,1,1,762,Yes,Yes,No,No
941,6,2,4,732,Yes,Yes,No,No
984,4,2,2,348,Yes,Yes,No,Yes
570,2,1,1,192,No,Yes,No,Yes
1269,4,3,2,421,Yes,No,Yes,Yes
1240,3,1,2,709,Yes,Yes,No,No
505,2,1,1,160,Yes,No,No,Yes
980,3,3,2,744,No,Yes,No,No
1120,5,2,2,690,Yes,No,No,No
1326,4,2,2,447,Yes,Yes,Yes,Yes
1388,4,2,1,743,Yes,Yes,No,No
1065,3,1,2,747,Yes,Yes,No,No
550,2,1,1,165,Yes,No,No,Yes
950,4,2,1,640,Yes,Yes,No,No
678,3,1,1,310,Yes,Yes,No,Yes
1160,3,1,1,857,Yes,No,No,No
2065,5,2,2,720,Yes,Yes,Yes,No
1025,3,1,2,729,Yes,No,No,No
1400,4,3,2,764,Yes,No,Yes,No
1785,5,2,2,754,Yes,No,Yes,No
670,3,1,2,367,No,No,No,Yes
780,3,2,2,273,Yes,Yes,No,Yes
572,2,1,1,152,No,Yes,No,Yes
1008,4,3,2,287,No,Yes,Yes,Yes
1100,3,1,2,730,Yes,No,No,No
927,5,2,2,653,No,Yes,No,No
670,3,1,1,289,Yes,Yes,No,Yes
1576,3,1,2,888,Yes,Yes,No,No
850,4,2,2,322,No,Yes,Yes,Yes
1625,5,3,2,346,Yes,Yes,Yes,Yes
1416,4,2,1,735,Yes,Yes,No,No
1400,3,2,1,752,Yes,No,No,No
945,3,2,2,390,Yes,No,Yes,Yes
1112,4,1,1,651,Yes,Yes,No,No
1406,4,2,2,671,Yes,No,No,No
1250,3,1,2,724,No,Yes,No,No
960,3,1,2,760,No,Yes,No,No
1438,4,3,2,674,Yes,Yes,No,No
900,3,2,1,321,Yes,Yes,Yes,Yes
925,3,2,1,277,Yes,Yes,Yes,Yes
1040,3,1,2,720,No,No,No,No
1680,3,1,2,729,Yes,Yes,No,No
1205,4,3,2,445,No,No,Yes,Yes
1240,4,3,1,743,No,Yes,No,No
1450,4,2,2,761,Yes,No,No,No
1215,4,2,3,730,Yes,No,No,No
2000,5,5,2,721,Yes,No,Yes,No
1208,4,2,2,654,Yes,No,Yes,No
1580,4,2,2,728,Yes,Yes,No,No
1310,3,1,2,780,Yes,Yes,No,No
650,2,1,2,282,Yes,Yes,No,Yes
1200,4,2,2,670,Yes,Yes,No,No
1430,3,2,2,776,Yes,Yes,No,No
555,2,1,1,133,Yes,Yes,No,Yes
1730,4,2,2,830,Yes,Yes,Yes,No
1250,3,2,2,730,Yes,Yes,No,No
860,4,2,2,588,No,Yes,No,No
1385,3,1,2,757,Yes,Yes,No,No
700,2,1,2,292,No,Yes,No,Yes
1120,3,1,1,725,No,Yes,No,No
1120,4,2,2,651,Yes,No,No,No
1350,5,3,2,452,Yes,No,Yes,Yes
1095,3,1,1,688,Yes,Yes,No,No
1150,3,2,2,649,Yes,Yes,No,No
650,2,1,1,394,Yes,Yes,No,Yes
918,5,2,2,745,No,No,No,No
621,2,1,1,260,No,Yes,No,Yes
572,2,1,1,219,No,No,No,Yes
1035,3,2,1,723,Yes,No,No,No
2500,5,4,2,727,Yes,No,Yes,No
1205,4,1,2,846,Yes,Yes,No,No
855,3,1,1,675,Yes,Yes,No,No
985,3,2,1,780,Yes,Yes,No,No
2710,5,5,2,711,Yes,Yes,Yes,No
1100,3,1,2,730,Yes,No,No,No
2570,5,5,2,721,Yes,Yes,Yes,No
993,4,1,2,657,No,Yes,No,No
850,3,2,2,315,No,Yes,Yes,Yes
1068,4,2,2,689,Yes,Yes,No,No
2120,5,5,2,842,Yes,Yes,Yes,No
810,3,1,2,728,Yes,No,No,No
1850,4,2,2,677,Yes,Yes,No,No
940,4,2,2,237,Yes,No,Yes,Yes
971,3,1,2,729,No,Yes,No,No
1055,3,2,2,727,Yes,Yes,No,No
1030,2,1,1,722,Yes,Yes,No,No
800,3,2,2,254,Yes,No,No,Yes
1350,5,2,2,745,Yes,No,No,No
740,2,1,1,446,Yes,No,No,Yes
1580,2,2,1,743,Yes,No,No,No
1101,3,2,1,724,No,No,No,No
1103,4,2,2,781,Yes,Yes,No,No
758,2,1,2,363,No,Yes,No,Yes
1300,3,2,1,756,Yes,No,No,No
1260,3,2,2,670,Yes,No,No,No
828,3,2,2,300,No,No,Yes,Yes
1225,3,2,2,760,Yes,No,No,No
803,3,2,2,262,Yes,No,No,Yes
988,2,1,1,221,Yes,Yes,No,Yes
1100,4,2,2,731,Yes,No,No,No
1081,4,1,2,735,Yes,No,No,No
1240,5,2,2,230,Yes,Yes,Yes,Yes
1300,6,3,6,787,Yes,Yes,No,No
781,3,2,1,239,Yes,No,No,Yes
1180,4,3,2,324,Yes,No,Yes,Yes
905,5,2,1,672,Yes,No,No,No
1250,4,2,2,687,Yes,No,No,No
920,4,2,2,342,No,Yes,Yes,Yes
1330,3,2,3,774,Yes,No,No,No
1750,5,2,3,740,Yes,No,No,No
1227,4,3,2,680,Yes,No,No,No
1245,4,2,2,730,Yes,No,No,No
1100,3,2,1,650,No,Yes,No,No
951,4,2,1,363,No,Yes,Yes,Yes
963,4,3,2,643,Yes,Yes,No,No
995,4,3,2,725,Yes,Yes,No,No
1100,3,1,2,772,No,Yes,No,No
795,4,2,2,744,No,Yes,No,No
1352,4,2,2,765,Yes,No,No,No
1290,4,3,2,650,Yes,No,No,No
1100,3,1,2,745,No,Yes,No,No
1015,3,1,2,732,Yes,Yes,No,No
1502,5,2,1,740,Yes,No,No,No
920,3,2,2,349,Yes,Yes,Yes,Yes
958,4,2,1,861,Yes,Yes,No,No
1100,4,3,2,772,Yes,No,No,No
958,3,1,1,735,No,No,No,No
1450,4,2,2,815,No,Yes,No,No
1210,4,2,2,364,Yes,Yes,Yes,Yes
785,3,1,1,385,Yes,No,No,Yes
1280,3,2,2,397,Yes,Yes,Yes,Yes
1500,4,1,2,716,Yes,Yes,No,No
965,3,1,1,668,Yes,No,No,No
1100,3,1,1,731,Yes,No,No,No
740,3,1,2,351,Yes,No,No,Yes
1140,4,2,1,727,Yes,No,No,No
1308,3,1,1,800,Yes,No,No,No
721,3,2,2,312,Yes,Yes,No,Yes
1700,5,2,3,725,Yes,Yes,Yes,No
920,3,2,2,272,Yes,Yes,Yes,Yes
1385,5,2,2,730,Yes,Yes,No,No
1039,4,2,2,334,Yes,Yes,Yes,Yes
636,2,1,1,315,Yes,No,No,Yes
1350,4,2,2,650,Yes,No,No,No
902,3,2,1,663,Yes,Yes,No,No
2402,4,4,5,708,Yes,No,Yes,No
1167,3,2,2,362,Yes,Yes,Yes,Yes
1100,3,1,2,795,Yes,Yes,No,No
2370,5,5,2,732,Yes,Yes,Yes,No
1328,3,2,2,722,Yes,No,No,No
1100,3,2,2,770,Yes,Yes,No,No
1280,4,2,1,783,Yes,Yes,No,No
1428,3,1,3,822,Yes,No,No,No
1285,3,2,1,680,Yes,No,No,No
1360,4,2,2,757,Yes,No,Yes,No
645,2,1,1,345,No,Yes,No,Yes
1182,4,3,2,725,Yes,No,No,No
1150,3,1,2,665,Yes,No,No,No
3080,5,3,4,846,Yes,No,No,No
1450,4,3,2,847,Yes,No,No,No
790,4,2,1,321,Yes,No,Yes,Yes
1005,5,3,4,700,No,No,No,No
1622,4,2,2,751,Yes,No,No,No
860,4,1,2,647,Yes,No,No,No
1300,3,1,1,705,Yes,No,No,No
980,3,2,2,707,No,No,No,No
682,3,1,1,327,Yes,No,No,Yes
910,3,2,2,297,Yes,Yes,Yes,Yes
1500,4,3,2,1076,Yes,Yes,Yes,No
1688,4,3,2,708,Yes,Yes,No,No
