DATE,MRTSSM4541USN
1992-01-01,2692
1992-02-01,2285
1992-03-01,2484
1992-04-01,2506
1992-05-01,2483
1992-06-01,2602
1992-07-01,2665
1992-08-01,2673
1992-09-01,2932
1992-10-01,3436
1992-11-01,3922
1992-12-01,4530
1993-01-01,3057
1993-02-01,2739
1993-03-01,3299
1993-04-01,2962
1993-05-01,2791
1993-06-01,2667
1993-07-01,2621
1993-08-01,2895
1993-09-01,3280
1993-10-01,3869
1993-11-01,4955
1993-12-01,5542
1994-01-01,3532
1994-02-01,3141
1994-03-01,3898
1994-04-01,3619
1994-05-01,3464
1994-06-01,3296
1994-07-01,3097
1994-08-01,3597
1994-09-01,3812
1994-10-01,4309
1994-11-01,5254
1994-12-01,6018
1995-01-01,3939
1995-02-01,3341
1995-03-01,4121
1995-04-01,3650
1995-05-01,3943
1995-06-01,3710
1995-07-01,3568
1995-08-01,4080
1995-09-01,4357
1995-10-01,5021
1995-11-01,6113
1995-12-01,6837
1996-01-01,4549
1996-02-01,4226
1996-03-01,4703
1996-04-01,4566
1996-05-01,4563
1996-06-01,4250
1996-07-01,4442
1996-08-01,4586
1996-09-01,4875
1996-10-01,5816
1996-11-01,6676
1996-12-01,7854
1997-01-01,5042
1997-02-01,4577
1997-03-01,5594
1997-04-01,5491
1997-05-01,5304
1997-06-01,5204
1997-07-01,5198
1997-08-01,5165
1997-09-01,6080
1997-10-01,6693
1997-11-01,7029
1997-12-01,8690
1998-01-01,5794
1998-02-01,5455
1998-03-01,6528
1998-04-01,6096
1998-05-01,6111
1998-06-01,5977
1998-07-01,6115
1998-08-01,6056
1998-09-01,6711
1998-10-01,7483
1998-11-01,8156
1998-12-01,9815
1999-01-01,6491
1999-02-01,6391
1999-03-01,7595
1999-04-01,7128
1999-05-01,6925
1999-06-01,7222
1999-07-01,6964
1999-08-01,7514
1999-09-01,8033
1999-10-01,8552
1999-11-01,9604
1999-12-01,11863
2000-01-01,8087
2000-02-01,8074
2000-03-01,9425
2000-04-01,8409
2000-05-01,8692
2000-06-01,8865
2000-07-01,8229
2000-08-01,9297
2000-09-01,9442
2000-10-01,10324
2000-11-01,11388
2000-12-01,13558
2001-01-01,9343
2001-02-01,8333
2001-03-01,9710
2001-04-01,8898
2001-05-01,9214
2001-06-01,8908
2001-07-01,8727
2001-08-01,9551
2001-09-01,8420
2001-10-01,10118
2001-11-01,10903
2001-12-01,12624
2002-01-01,9912
2002-02-01,8925
2002-03-01,9670
2002-04-01,9684
2002-05-01,9713
2002-06-01,8969
2002-07-01,9478
2002-08-01,9845
2002-09-01,9678
2002-10-01,10738
2002-11-01,11412
2002-12-01,14190
2003-01-01,10568
2003-02-01,9654
2003-03-01,10403
2003-04-01,10415
2003-05-01,10322
2003-06-01,10185
2003-07-01,10511
2003-08-01,10641
2003-09-01,11253
2003-10-01,12099
2003-11-01,12162
2003-12-01,16091
2004-01-01,11989
2004-02-01,11260
2004-03-01,12621
2004-04-01,12030
2004-05-01,11706
2004-06-01,11840
2004-07-01,11655
2004-08-01,12540
2004-09-01,12412
2004-10-01,13030
2004-11-01,14604
2004-12-01,18470
2005-01-01,13209
2005-02-01,12317
2005-03-01,14154
2005-04-01,13352
2005-05-01,13639
2005-06-01,13634
2005-07-01,13107
2005-08-01,14910
2005-09-01,14318
2005-10-01,15022
2005-11-01,16922
2005-12-01,21316
2006-01-01,15811
2006-02-01,14531
2006-03-01,17046
2006-04-01,15024
2006-05-01,16071
2006-06-01,15795
2006-07-01,14768
2006-08-01,16897
2006-09-01,16050
2006-10-01,17497
2006-11-01,19037
2006-12-01,23724
2007-01-01,17540
2007-02-01,16118
2007-03-01,18040
2007-04-01,16927
2007-05-01,18053
2007-06-01,17211
2007-07-01,17617
2007-08-01,18523
2007-09-01,17206
2007-10-01,19574
2007-11-01,21583
2007-12-01,25289
2008-01-01,18651
2008-02-01,17399
2008-03-01,17984
2008-04-01,18676
2008-05-01,18621
2008-06-01,18128
2008-07-01,18591
2008-08-01,18127
2008-09-01,18547
2008-10-01,19067
2008-11-01,18998
2008-12-01,26453
2009-01-01,18178
2009-02-01,16779
2009-03-01,18458
2009-04-01,17894
2009-05-01,17773
2009-06-01,18638
2009-07-01,18569
2009-08-01,18697
2009-09-01,19164
2009-10-01,19739
2009-11-01,22000
2009-12-01,29736
2010-01-01,19565
2010-02-01,18419
2010-03-01,21629
2010-04-01,20385
2010-05-01,20021
2010-06-01,21027
2010-07-01,19875
2010-08-01,21602
2010-09-01,21327
2010-10-01,21388
2010-11-01,25275
2010-12-01,32975
2011-01-01,22221
2011-02-01,20666
2011-03-01,23815
2011-04-01,21954
2011-05-01,23133
2011-06-01,23110
2011-07-01,21664
2011-08-01,24422
2011-09-01,23446
2011-10-01,24090
2011-11-01,29238
2011-12-01,36938
2012-01-01,24739
2012-02-01,24201
2012-03-01,25943
2012-04-01,24432
2012-05-01,26383
2012-06-01,25035
2012-07-01,25015
2012-08-01,27379
2012-09-01,25451
2012-10-01,27483
2012-11-01,32753
2012-12-01,39841
2013-01-01,28098
2013-02-01,25253
2013-03-01,27282
2013-04-01,27402
2013-05-01,28056
2013-06-01,26167
2013-07-01,27457
2013-08-01,28336
2013-09-01,27345
2013-10-01,28735
2013-11-01,32568
2013-12-01,43788
2014-01-01,27869
2014-02-01,26138
2014-03-01,29580
2014-04-01,29596
2014-05-01,30087
2014-06-01,30004
2014-07-01,30707
2014-08-01,30763
2014-09-01,31281
2014-10-01,32870
2014-11-01,36542
2014-12-01,50628
2015-01-01,31761
2015-02-01,29988
2015-03-01,34159
2015-04-01,33618
2015-05-01,33305
2015-06-01,33856
2015-07-01,34624
2015-08-01,34245
2015-09-01,34829
2015-10-01,35856
2015-11-01,41774
2015-12-01,55972
2016-01-01,34622
2016-02-01,34872
2016-03-01,38728
2016-04-01,37143
2016-05-01,38723
2016-06-01,38640
2016-07-01,37441
2016-08-01,40230
2016-09-01,38939
2016-10-01,39486
2016-11-01,48591
2016-12-01,61425
2017-01-01,39971
2017-02-01,37782
2017-03-01,43957
2017-04-01,41295
2017-05-01,44958
2017-06-01,43718
2017-07-01,42851
2017-08-01,45435
2017-09-01,42636
2017-10-01,44850
2017-11-01,55947
2017-12-01,67898
2018-01-01,45236
2018-02-01,42653
2018-03-01,48414
2018-04-01,47141
2018-05-01,50407
2018-06-01,47380
2018-07-01,49349
2018-08-01,50735
2018-09-01,47028
2018-10-01,52236
2018-11-01,63881
2018-12-01,67283
2019-01-01,51647
2019-02-01,48295
2019-03-01,52458
2019-04-01,54612
2019-05-01,58855
2019-06-01,54928
2019-07-01,58814
2019-08-01,58181
2019-09-01,54922
2019-10-01,60568
2019-11-01,67037
2019-12-01,85217
2020-01-01,56350
2020-02-01,53979
2020-03-01,62550
2020-04-01,70053
2020-05-01,75973
