,RMSE,MAE,MAPE,MASE,WineMakerLoss
Bag_20,0.566878826,0.447012376,8.372073224,0.701195884,82.55323132
Bag_40,0.562443828,0.443442873,8.299018316,0.695596663,82.30977501
Bag_60,0.562609282,0.443101503,8.300367214,0.695061181,81.59434268
Bag_80,0.563725908,0.444944688,8.331057345,0.697952453,81.71900175
Bag_100,0.563582927,0.445974385,8.351911896,0.699567663,82.73773371
Bag_120,0.564637535,0.445782108,8.350587499,0.699266051,82.90149944
Bag_140,0.563193628,0.445167078,8.338079502,0.698301299,82.72742656
Bag_160,0.563497932,0.445971432,8.35145576,0.69956303,82.71845585
Bag_180,0.564302478,0.446363252,8.359487482,0.70017765,82.8272169
Bag_200,0.563915063,0.445705212,8.345954598,0.69914543,80.61035455
