,RMSE,MAE,MAPE,MASE,WineMakerLoss
Boost_0.010000,0.649859453,0.54409236,10.215889,0.853478213,110.9333825
Boost_0.020000,0.614931249,0.507587194,9.500284341,0.796215207,99.51498916
Boost_0.030000,0.600125573,0.487172127,9.108567276,0.764191572,95.15676867
Boost_0.040000,0.59343992,0.478122332,8.934807779,0.749995815,92.07259827
Boost_0.050000,0.590659915,0.474959374,8.871392022,0.745034312,91.18610097
Boost_0.060000,0.588880739,0.472492426,8.821156357,0.74116459,90.3941709
Boost_0.070000,0.587641774,0.470161155,8.773808064,0.737507694,89.69850287
Boost_0.080000,0.587185256,0.46849072,8.7402367,0.734887403,89.17753167
Boost_0.090000,0.586882776,0.467623374,8.721752154,0.733526861,88.74881909
Boost_0.100000,0.586795018,0.467014586,8.708819863,0.732571899,87.53295551
Boost_0.110000,0.586945134,0.467025811,8.707365908,0.732589508,87.30217935
Boost_0.120000,0.586996866,0.466962005,8.706283288,0.73248942,87.20394307
Boost_0.130000,0.586643889,0.466585182,8.698452335,0.731898325,86.97984205
Boost_0.140000,0.586596392,0.46640663,8.6950333,0.731618243,86.8986692
Boost_0.150000,0.586668516,0.466204985,8.690570729,0.731301936,86.85073656
Boost_0.160000,0.586425559,0.46604709,8.684046099,0.73105426,85.86539928
Boost_0.170000,0.586656359,0.466076241,8.684759511,0.731099985,85.85786652
Boost_0.180000,0.586315039,0.46571239,8.679345205,0.730529239,85.82639078
Boost_0.190000,0.586229267,0.465868596,8.681985476,0.730774268,85.72746321
Boost_0.200000,0.586486358,0.465769595,8.680205768,0.730618973,85.75270501
Boost_0.210000,0.586647091,0.465556899,8.673941449,0.730285332,85.63957538
Boost_0.220000,0.58617263,0.465594754,8.67680735,0.730344712,85.61168545
Boost_0.230000,0.586433633,0.465639121,8.674989324,0.730414308,85.47309808
Boost_0.240000,0.586316502,0.465656908,8.675372634,0.730442209,85.43422555
Boost_0.250000,0.586863774,0.465504427,8.672083013,0.730203022,85.55142595
Boost_0.260000,0.586542796,0.465319502,8.668852162,0.729912944,85.4837216
Boost_0.270000,0.586430908,0.465431162,8.670855421,0.730088098,85.40613804
Boost_0.280000,0.586295672,0.465522885,8.671666504,0.730231977,85.25687701
Boost_0.290000,0.586041321,0.465400641,8.672204882,0.730040221,85.34432161
Boost_0.300000,0.586359484,0.465463258,8.67024109,0.730138444,85.23726646
Boost_0.310000,0.586611935,0.465295317,8.667781698,0.729875007,85.36415709
Boost_0.320000,0.586630384,0.465300193,8.668021151,0.729882655,85.33290559
Boost_0.330000,0.58611115,0.465307288,8.670335236,0.729893785,85.34905129
Boost_0.340000,0.58638069,0.465445436,8.669777068,0.730110488,85.1384779
Boost_0.350000,0.586150603,0.465378386,8.668757092,0.730005312,85.08171449
Boost_0.360000,0.586079363,0.46529181,8.667223603,0.729869507,85.06736372
Boost_0.370000,0.58611041,0.465302643,8.667828965,0.729886498,85.09009944
Boost_0.380000,0.586259983,0.465335442,8.668055844,0.729937948,85.07927577
Boost_0.390000,0.586311605,0.465215709,8.666150095,0.729750131,85.13218831
Boost_0.400000,0.586301378,0.465317683,8.667978838,0.729910091,85.09238681
Boost_0.410000,0.586509377,0.465222906,8.666321127,0.729761421,85.17585412
Boost_0.420000,0.586493216,0.465202381,8.666092959,0.729729225,85.18340916
Boost_0.430000,0.586459559,0.465171187,8.665758177,0.729680293,85.17558804
Boost_0.440000,0.586438084,0.465144144,8.664823744,0.729637873,85.13205086
Boost_0.450000,0.586528659,0.465230455,8.66659181,0.729773263,85.15676067
Boost_0.460000,0.586491943,0.465192753,8.665994708,0.729714122,85.15212747
Boost_0.470000,0.586339496,0.465097447,8.664554431,0.729564623,85.13964241
Boost_0.480000,0.58631478,0.46512389,8.664705809,0.729606101,85.09045538
Boost_0.490000,0.586262627,0.465157999,8.665130682,0.729659606,85.03599626
Boost_0.500000,0.58621368,0.465127083,8.66477319,0.72961111,85.03500562
Boost_0.510000,0.586215299,0.465156252,8.665341113,0.729656866,85.02935309
Boost_0.520000,0.586222758,0.46512349,8.664406215,0.729605474,85.01704214
Boost_0.530000,0.58615488,0.465095269,8.66417661,0.729561206,85.02611751
Boost_0.540000,0.586283327,0.465160247,8.665328851,0.729663132,85.02562951
Boost_0.550000,0.586184156,0.465120231,8.664850955,0.729600363,85.03457323
Boost_0.560000,0.586281288,0.465144361,8.664896043,0.729638214,85.02685625
Boost_0.570000,0.586227795,0.465093784,8.664402862,0.729558877,85.0449011
Boost_0.580000,0.586249064,0.465169732,8.665728064,0.729678012,85.03910393
Boost_0.590000,0.586277497,0.465171054,8.665473789,0.729680084,85.0239112
Boost_0.600000,0.586293958,0.465173614,8.665498221,0.7296841,85.0192415
Boost_0.610000,0.586185233,0.465089373,8.664235095,0.729551958,85.02971278
Boost_0.620000,0.586275345,0.465147023,8.665387519,0.72964239,85.04624478
Boost_0.630000,0.586301835,0.465162055,8.665670306,0.729665968,85.06787521
Boost_0.640000,0.586163403,0.46506758,8.664157765,0.729517772,85.04846643
Boost_0.650000,0.586229626,0.465122984,8.664985472,0.729604681,85.03705769
